Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
4281229,66051006,Pyloric antrum structure,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4283074,6685009,Structure of right ankle,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4303072,78653002,Gastric mucous membrane structure,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4321259,9875009,Thymus gland structure,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4321753,9846003,Right kidney structure,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4069590,17621005,Normal,Qualifier Value,Meas Value,SNOMED,Valid,Standard,
4135493,263654008,Abnormal,Qualifier Value,Meas Value,SNOMED,Valid,Standard,
4002221,119365002,Specimen from wound,Specimen,Specimen,SNOMED,Valid,Standard,
4048961,122609004,Specimen from lung obtained by bronchial washing procedure,Specimen,Specimen,SNOMED,Valid,Standard,
32856,OMOP4976929,Lab,Type Concept,Type Concept,Type Concept,Valid,Standard,
32835,OMOP4976908,EHR Pathology report,Type Concept,Type Concept,Type Concept,Valid,Standard,
