Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
8857	L/(24.h)	liter per 24 hours	Unit	Unit	UCUM	Valid	Standard
8859	ug/mL	microgram per milliliter	Unit	Unit	UCUM	Valid	Standard
8860	10*-6.[U]/mL	microunit per milliliter	Unit	Unit	UCUM	Valid	Standard
8861	mg/mL	milligram per milliliter	Unit	Unit	UCUM	Valid	Standard
8862	mosm/kg	milliosmole per kilogram	Unit	Unit	UCUM	Valid	Standard
8873	lg({copies})/mL	log copies per milliliter	Unit	Unit	UCUM	Valid	Standard
8875	10*-6.eq/L	microequivalent per liter	Unit	Unit	UCUM	Valid	Standard
8876	mm[Hg]	millimeter mercury column	Unit	Unit	UCUM	Valid	Standard
8881	nmol{BColl}eq/L	nanomole of bone collagen equivalent per liter	Unit	Unit	UCUM	Valid	Standard
8888	{cells}/mm3	cells per cubic millimeter	Unit	Unit	UCUM	Valid	Standard
8889	{cells}/[HPF]	cells per high power field	Unit	Unit	UCUM	Valid	Standard
8891	m/mm3	Meter per cubic millimeter	Unit	Unit	UCUM	Invalid	Non-standard
8903	K/mm3	Kelvin per cubic millimeter	Unit	Unit	UCUM	Invalid	Non-standard
8906	ug/(24.h)	microgram per 24 hours	Unit	Unit	UCUM	Valid	Standard
8907	umol/(24.h)	micromole per 24 hours	Unit	Unit	UCUM	Valid	Standard
8908	mg/(12.h)	milligram per 12 hours	Unit	Unit	UCUM	Valid	Standard
8909	mg/(24.h)	milligram per 24 hours	Unit	Unit	UCUM	Valid	Standard
8910	mmol/(24.h)	millimole per 24 hours	Unit	Unit	UCUM	Valid	Standard
8915	[U]/g{creat}	unit per gram of creatinine	Unit	Unit	UCUM	Valid	Standard
8916	U/g{HGB}	Unit per gram of Hemoglobin	Unit	Unit	UCUM	Invalid	Non-standard
8923	[iU]/L	international unit per liter	Unit	Unit	UCUM	Valid	Standard
8924	10*3.[U]/L{class}	kilounit per liter class	Unit	Unit	UCUM	Valid	Standard
8927	m/kg2	meter per square kilogram	Unit	Unit	UCUM	Valid	Standard
8928	10*-6.eq/(24.h)	microequivalent per 24 hours	Unit	Unit	UCUM	Valid	Standard
8929	10*-6.eq/kg	microequivalent per kilogram	Unit	Unit	UCUM	Valid	Standard
8930	mL/(24.h)	milliliter per 24 hours	Unit	Unit	UCUM	Valid	Standard
8931	10*6/mm3	million per cubic millimeter	Unit	Unit	UCUM	Valid	Standard
8938	10*-3/uL	thousandth per microliter	Unit	Unit	UCUM	Valid	Standard
8950	g/dL{calc}	gram per deciliter calculated	Unit	Unit	UCUM	Valid	Standard
8953	ug/10*-3.eq	microgram per milliequivalent	Unit	Unit	UCUM	Valid	Standard
8954	mg/dL{adult}	milligram per deciliter adult	Unit	Unit	UCUM	Valid	Standard
8955	nmol/s/L	nanomole per second and liter	Unit	Unit	UCUM	Valid	Standard
8961	10*3/mm3	thousand per cubic millimeter	Unit	Unit	UCUM	Valid	Standard
8967	g/dL.[%]	Gram per deciliter and percent	Unit	Unit	UCUM	Invalid	Non-standard
8978	10*3/mm4	Thousand per cubic millimeter4	Unit	Unit	UCUM	Invalid	Non-standard
8979	[U]/g{tot'prot}	unit per gram of total protein	Unit	Unit	UCUM	Valid	Standard
8980	[arb'U]/mL	arbitrary unit per milliliter	Unit	Unit	UCUM	Valid	Standard
8985	[iU]/mL	international unit per milliliter	Unit	Unit	UCUM	Valid	Standard
8989	ug{FEU}/mL	microgram of fibrinogen equivalent unit per milliliter	Unit	Unit	UCUM	Valid	Standard
8990	ug/mL{FEU}	Microgram per milliliter of FEU	Unit	Unit	UCUM	Invalid	Non-standard
8991	mosm/kg{H20}	milliosmole per kilogram of H20	Unit	Unit	UCUM	Valid	Standard
8992	ng/dL/h	nanogram per deciliter per hour	Unit	Unit	UCUM	Valid	Standard
8993	nmol/h/mg	nanomole per hour and milligram	Unit	Unit	UCUM	Valid	Standard
8998	[CAE'U]	complement activity enzyme unit	Unit	Unit	UCUM	Valid	Standard
9014	ug/g{creat}	microgram per gram of creatinine	Unit	Unit	UCUM	Valid	Standard
9015	umol/g{creat}	micromole per gram of creatinine	Unit	Unit	UCUM	Valid	Standard
9016	10*-6.[U]/g{HGB}	microunit per gram of hemoglobin	Unit	Unit	UCUM	Valid	Standard
9017	mg/g{creat}	milligram per gram of creatinine	Unit	Unit	UCUM	Valid	Standard
9018	mmol/g{creat}	millimole per gram of creatinine	Unit	Unit	UCUM	Valid	Standard
9019	mmol/mol{creat}	millimole per mole of creatinine	Unit	Unit	UCUM	Valid	Standard
9020	ng/mL/h	nanogram per milliliter and hour	Unit	Unit	UCUM	Valid	Standard
9028	mg/dL{calc}	milligram per deciliter calculated	Unit	Unit	UCUM	Valid	Standard
9031	[U]/10*12.{RBC}	unit per billion red blood cells	Unit	Unit	UCUM	Valid	Standard
9032	/100.{WBC}	per 100 white blood cells	Unit	Unit	UCUM	Valid	Standard
9040	10*-3.[iU]/L	milli-international unit per liter	Unit	Unit	UCUM	Valid	Standard
9046	ug{eq}/mL	microgram equivalent per milliliter	Unit	Unit	UCUM	Valid	Standard
9058	10*3.[iU]/L	kilo-international unit per liter	Unit	Unit	UCUM	Valid	Standard
9061	ug/dL{thyroxine}	microgram per deciliter of thyroxine	Unit	Unit	UCUM	Valid	Standard
9062	mL/min/{1.73}m	Milliliter per minute per 1.73 meter	Unit	Unit	UCUM	Invalid	Non-standard
9063	nmol/mmol{creat}	nanomole per millimole of creatinine	Unit	Unit	UCUM	Valid	Standard
9072	ug/mg{creat}	microgram per milligram of creatinine	Unit	Unit	UCUM	Valid	Standard
9073	umol/mmol{creat}	micromole per millimole of creatinine	Unit	Unit	UCUM	Valid	Standard
9074	mg/mg{creat}	milligram per milligram of creatinine	Unit	Unit	UCUM	Valid	Standard
9075	mg/mmol{creat}	milligram per millimole of creatinine	Unit	Unit	UCUM	Valid	Standard
9081	ng/mL{trypsinogen}	nanogram per milliliter of trypsinogen	Unit	Unit	UCUM	Valid	Standard
9083	[U]/mL{RBC}	unit per milliliter of red blood cells	Unit	Unit	UCUM	Valid	Standard
9084	lg([iU])/mL	log international unit per milliliter	Unit	Unit	UCUM	Valid	Standard
9093	10*-6.[iU]/mL	micro-international unit per milliliter	Unit	Unit	UCUM	Valid	Standard
9096	[{log10}]'[iU]/mL	Log10 international units per milliliter	Unit	Unit	UCUM	Invalid	Non-standard
9098	mg/dL{phenylalanine}	milligram per deciliter of phenylalanine	Unit	Unit	UCUM	Valid	Standard
9099	[APL'U]	IgA phospholipid unit	Unit	Unit	UCUM	Valid	Standard
9100	[GPL'U]	IgG phospholipid unit	Unit	Unit	UCUM	Valid	Standard
9101	[MPL'U]	IgM phospholipid unit	Unit	Unit	UCUM	Valid	Standard
9107	[iU]/g{HGB}	International Unit per gram of hemoglobin	Unit	Unit	UCUM	Invalid	Non-standard
9108	K[iU]/mL	Kelvin International Units per milliliter	Unit	Unit	UCUM	Invalid	Non-standard
9113	ng/mL{RBC}	nanogram per milliliter of red blood cells	Unit	Unit	UCUM	Valid	Standard
9114	nmol{BColl}eq/mmol{creat}	nanomole of bone collagen equivalent per millimole of creatinine	Unit	Unit	UCUM	Valid	Standard
9117	mL/min/1.73.m2	milliliter per minute per 1.73 square meter	Unit	Unit	UCUM	Invalid	Non-standard
9145	ng/h/mg{tot'prot}	nanogram per hour per milligram of total protein	Unit	Unit	UCUM	Valid	Standard
9148	pmol/8.10*8.{RBC}	picomole per eight times 10 to the 8th red blood cells	Unit	Unit	UCUM	Valid	Standard
9154	[ppth]	parts per thousand	Unit	Unit	UCUM	Valid	Standard
9155	[pptr]	parts per trillion	Unit	Unit	UCUM	Valid	Standard
9156	[APL'U]/mL	IgA phospholipid unit per milliliter	Unit	Unit	UCUM	Valid	Standard
9157	[GPL'U]/mL	IgG phospholipid unit per milliliter	Unit	Unit	UCUM	Valid	Standard
9158	[MPL'U]/mL	IgM phospholipid unit per milliliter	Unit	Unit	UCUM	Valid	Standard
9161	[beth'U]	Bethesda unit	Unit	Unit	UCUM	Valid	Standard
9163	10*-6.[U]/L{TSH}	microunit per liter of thyroid stimulationg hormone (TSH)	Unit	Unit	UCUM	Valid	Standard
9211	'	minute	Unit	Unit	UCUM	Valid	Standard
9212	''	second	Unit	Unit	UCUM	Valid	Standard
9213	%/100{WBC}	Percent Per 100 WBC [Number Fraction Units]	Unit	Unit	UCUM	Invalid	Non-standard
9214	%[slope]	percent slope	Unit	Unit	UCUM	Valid	Standard
9215	%{0'to3'hours}	percent 0 to 3 hours	Unit	Unit	UCUM	Valid	Standard
9216	%{abnormal}	percent abnormal	Unit	Unit	UCUM	Valid	Standard
9217	%{basal'activity}	percent basal activity	Unit	Unit	UCUM	Valid	Standard
9218	%{binding}	percent binding	Unit	Unit	UCUM	Valid	Standard
9219	%{blockade}	percent blockade	Unit	Unit	UCUM	Valid	Standard
9220	%{bound}	percent bound	Unit	Unit	UCUM	Valid	Standard
9221	%{carboxyhemoglobin}	percent carboxyhemoglobin	Unit	Unit	UCUM	Valid	Standard
9222	%{eos}	percent eosinophils	Unit	Unit	UCUM	Valid	Standard
9223	%{excretion}	percent excretion	Unit	Unit	UCUM	Valid	Standard
9224	%{fetal'erythrocytes}	percent fetal erythrocytes	Unit	Unit	UCUM	Valid	Standard
9225	%{HbA1c}	percent hemoglobin A1c	Unit	Unit	UCUM	Valid	Standard
9226	%{hemolysis}	percent hemolysis	Unit	Unit	UCUM	Valid	Standard
9227	%{of'bacteria}	percent of bacteria	Unit	Unit	UCUM	Valid	Standard
9228	%{of'lymphos}	percent of lymphocytes	Unit	Unit	UCUM	Valid	Standard
9229	%{of'WBC}	percent of white blood cells	Unit	Unit	UCUM	Valid	Standard
9230	%{oxygen}	percent oxygen	Unit	Unit	UCUM	Valid	Standard
9231	%{positive}	percent positive	Unit	Unit	UCUM	Valid	Standard
9232	%{sperm'motility}	percent sperm motility	Unit	Unit	UCUM	Valid	Standard
9233	%{tot'prot}	percent total protein	Unit	Unit	UCUM	Valid	Standard
9234	%{vol}	volume percent	Unit	Unit	UCUM	Valid	Standard
9235	/[arb'U]	per arbitrary unit	Unit	Unit	UCUM	Valid	Standard
9236	/{entity}	per entity	Unit	Unit	UCUM	Valid	Standard
9237	/{tot}	per total count	Unit	Unit	UCUM	Valid	Standard
9238	/10*10	per ten billion	Unit	Unit	UCUM	Valid	Standard
9239	/10*12	per trillion	Unit	Unit	UCUM	Valid	Standard
9240	/10*12.{RBC}	per trillion red blood cells	Unit	Unit	UCUM	Valid	Standard
9241	/10*6	per million	Unit	Unit	UCUM	Valid	Standard
9242	/10*9	per billion	Unit	Unit	UCUM	Valid	Standard
9243	/100	per hundred	Unit	Unit	UCUM	Valid	Standard
